Pos,Driver,SIL R1,SIL R2,SIL R3,HOC R1,HOC R2,HOC R3,PAU R1,PAU R2,PAU R3,HUN R1,HUN R2,HUN R3,SPA R1,SPA R2,SPA R3,NOR R1,NOR R2,NOR R3,MSC R1,MSC R2,MSC R3,RBR R1,RBR R2,RBR R3,NÜR R1,NÜR R2,NÜR R3,IMO R1,IMO R2,IMO R3,HOC R1,HOC R2,HOC R3,Points
1,Esteban Ocon,2,1,3,9,1,2,1,2,2,2,1,1,Ret,2,2,2,14,2,1,1,1,13,Ret,13,6,3,Ret,1,4,3,7,4,7,478
2,Tom Blomqvist,1,4,6,4,5,Ret,11,1,3,1,5,6,4,8,6,10,Ret,Ret,4,3,7,1,2,2,5,2,2,3,1,5,3,1,3,420
3,Max Verstappen,Ret,5,2,Ret,DNS,1,3,Ret,Ret,Ret,16,4,1,1,1,1,1,1,3,Ret,2,5,4,12,1,Ret,3,Ret,2,1,1,5,6,411
4,Lucas Auer,5,12,8,1,4,4,2,7,6,4,3,3,2,Ret,21,3,3,8,5,4,Ret,10,3,3,7,5,1,6,5,8,2,3,1,365
5,Antonio Fuoco,4,3,1,11,Ret,3,17,19†,11,19,2,2,5,Ret,16,Ret,7,9,6,2,3,6,1,19,2,4,4,16,25,2,14,DSQ,DNS,255
6,Antonio Giovinazzi,12,8,5,Ret,2,5,7,4,10,23†,6,5,Ret,9,11,Ret,9,7,13,16,10,2,16,1,3,1,Ret,5,3,Ret,4,2,5,238
7,Jordan King,3,6,9,3,9,7,5,18†,9,5,Ret,DNS,10,10,10,Ret,2,3,2,5,Ret,9,Ret,7,4,6,5,2,19,11,6,13,2,217
8,Felix Rosenqvist,9,14,7,5,7,Ret,14,Ret,1,3,4,17,7,4,9,6,6,11,8,7,5,4,Ret,Ret,8,7,Ret,4,9,Ret,5,6,4,198
9,Jake Dennis,17,17,Ret,7,10,6,4,3,4,11,17,9,3,6,7,5,4,Ret,15,6,4,3,18†,5,Ret,Ret,9,7,7,7,15,12,11,174
10,Nicholas Latifi,6,2,4,Ret,6,Ret,Ret,17†,Ret,22,9,10,13,7,5,4,8,Ret,7,8,17†,Ret,8,4,13,10,Ret,Ret,6,4,,,,128
11,Gustavo Menezes,16,13,18,Ret,21,9,15,13,Ret,17,7,8,6,3,3,Ret,10,5,10,15,12,7,5,8,14,13,13,Ret,10,10,8,9,16,91
12,Félix Serrallés,7,15,10,8,8,Ret,6,8,13,7,8,7,11,Ret,4,8,11,13,9,10,Ret,14,Ret,Ret,12,Ret,7,8,8,9,9,11,Ret,82
13,Ed Jones,8,7,15,2,3,15,8,Ret,17,,,,,,,,,,,,,NC,6,6,10,8,DNS,13,13,Ret,13,14,9,70
14,Dennis van de Laar,11,9,12,19,12,13,13,5,7,8,12,14,17,14,20,Ret,12,DNS,12,9,6,8,Ret,14,11,12,Ret,12,11,13,17,10,10,38
15,Tatiana Calderón,23,18,19,18,22,18,18,Ret,15,20,15,16,15,5,17,Ret,Ret,10,14,11,8,15,13,9,Ret,9,8,9,14,Ret,12,8,Ret,29
16,Mitch Gilbert,13,16,Ret,6,11,14,Ret,6,5,9,11,23,20,12,18,11,20,17,,,,,,,,,,,,,,,,28
17,Roy Nissany,20,22,16,Ret,15,8,20,9,16,15,14,11,16,11,12,7,19,Ret,18,14,16,11,14,11,15,11,6,Ret,21,12,11,7,13,26
18,Sean Gelael,15,20,NC,13,20,22,10,Ret,Ret,10,21,13,18,13,13,9,17,6,17,17,11,12,7,10,16,21†,11,10,16,Ret,10,18,8,25
19,Santino Ferrucci,,,,,,,,,,,,,Ret,DNS,15,12,5,4,16,13,14,Ret,12,20†,9,17,14,Ret,Ret,16,19,17,15,24
20,Jules Szymkowiak,19,24,20,Ret,16,16,19,Ret,14,6,19,15,9,Ret,8,18†,Ret,Ret,11,12,13,Ret,9,15,17,14,10,Ret,15,14,22,15,20,17
21,John Bryant-Meisner,18,10,11,20,13,19,12,11,8,14,10,12,14,18,23†,15,13,15,,,,20,11,Ret,,,,,,,,,,6
22,Felipe Guimarães,10,11,Ret,12,14,Ret,16,15,12,13,13,20,8,Ret,Ret,Ret,Ret,Ret,,,,,,,,,,,,,,,,5
23,Richard Goddard,14,Ret,21,10,24,12,9,Ret,Ret,16,23,22,12,15,22,17,Ret,14,,,,21,Ret,17,19,15,17,15,18,19,20,21,12,3
24,Hector Hurst,22,Ret,13,15,23,17,21,10,18,18,20,19,19,17,Ret,13,15,16,19,Ret,9,16,19,16,,,,,,,,,,3
25,Alexander Toril,Ret,19,14,16,19,20,Ret,16,Ret,12,22,18,Ret,19†,14,16,18,12,,,,17,10,Ret,18,16,12,Ret,Ret,15,21,16,21†,1
26,Riccardo Agostini,21,23,22†,Ret,18,10,22†,14,Ret,,,,,,,,,,,,,,,,,,,,,,,,,1
27,Sandro Zeller,,,,14,17,11,,,,21,18,Ret,21,16,Ret,14,16,18,,,,18,Ret,18,22,19,16,Ret,23,Ret,18,20,17,0
28,Michele Beretta,Ret,21,17,17,Ret,21,Ret,12,Ret,Ret,24,21,22,Ret,19,Ret,Ret,19,20,Ret,15,22,17,Ret,21,18,15,17,17,17,Ret,NC,14,0
29,Alfonso Celis,,,,,,,,,,,,,,,,,,,,,,19,15,Ret,,,,,,,,,,0
30,Wing Chung Chang,,,,,,,,,,,,,,,,,,,,,,,,,20,20,18,18,22,18,Ret,22,19,0
,William Buller,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ret,Ret,6,,,,
,Nick Cassidy,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,22,16,19,18,
,Sérgio Sette Câmara,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,20,21,,,,
,Hongwei Cao,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ret,24,20,,,,
