Pos,Driver,SIL R1,SIL R2,SIL R3,HOC R1,HOC R2,HOC R3,PAU R1,PAU R2,PAU R3,MNZ R1,MNZ R2,MNZ R3,SPA R1,SPA R2,SPA R3,NOR R1,NOR R2,NOR R3,ZAN R1,ZAN R2,ZAN R3,RBR R1,RBR R2,RBR R3,ALG R1,ALG R2,ALG R3,NÜR R1,NÜR R2,NÜR R3,HOC R1,HOC R2,HOC R3,Points
1,Felix Rosenqvist,1,7,12,2,1,2,13,5,6,1,1,1,2,Ret,5,3,17,13,2,1,3,2,1,2,3,1,1,1,1,1,3,3,1,518
2,Antonio Giovinazzi,2,3,2,1,3,3,2,3,1,4,Ret,4,Ret,9,15,2,22,1,1,2,2,3,2,1,9,8,8,10,2,13,6,1,3,412.5
3,Jake Dennis,3,Ret,3,4,15,8,1,1,23,3,2,2,5,1,1,Ret,Ret,11,Ret,3,4,1,8,7,1,2,2,Ret,4,4,2,2,7,377
4,Charles Leclerc,12,2,1,3,2,1,3,2,3,5,Ret,3,1,6,2,1,3,4,5,Ret,10,6,4,6,6,7,7,4,5,5,8,10,23,363.5
5,Lance Stroll,6,4,Ret,6,14,6,9,10,4,11,Ret,DSQ,31,Ret,EX,8,4,26,4,Ret,5,4,3,5,4,3,3,9,3,2,1,6,Ret,231
6,George Russell,8,1,5,11,9,18,8,6,8,8,6,7,6,13,3,10,5,2,6,5,6,5,7,9,10,5,4,13,8,10,7,8,Ret,203
7,Alexander Albon,4,6,6,13,8,9,5,7,NC,21,WD,WD,3,16,9,5,2,3,7,4,8,7,5,8,2,12,Ret,12,14,11,11,Ret,2,187
8,Maximilian Günther,9,12,21,5,4,5,4,18,2,Ret,Ret,9,13,7,8,4,1,Ret,29,7,12,20,14,19,14,14,Ret,,,,4,4,6,152
9,Mikkel Jensen,13,10,10,7,11,4,7,12,9,2,3,Ret,7,Ret,Ret,12,6,5,8,18,Ret,10,9,13,8,9,DNS,5,10,Ret,19,5,8,117.5
10,Markus Pommer,5,Ret,7,DSQ,17,7,23,8,20,Ret,8,10,19,28,DSQ,9,11,12,3,21,1,17,6,4,5,11,Ret,6,13,6,9,9,21,116.5
11,Santino Ferrucci,18,9,13,10,6,28,Ret,11,10,Ret,4,8,4,2,12,Ret,Ret,6,28,8,9,12,13,11,7,10,Ret,7,7,7,10,17,Ret,91
12,Callum Ilott,10,19,9,12,5,10,11,15,16,20,14,14,14,11,4,11,16,7,11,12,22,30,12,10,16,26†,11,3,9,8,15,11,5,65.5
13,Gustavo Menezes,7,18,4,9,7,11,15,14,Ret,13,5,6,22,Ret,DNS,7,7,Ret,16,10,Ret,8,10,12,15,4,Ret,14,Ret,14,20,12,13,65
14,Sérgio Sette Câmara,17,Ret,20,17,25,27,14,20,11,Ret,11,22,16,3,22,15,23,19,Ret,6,7,9,19,3,11,13,5,11,11,9,17,7,11,57.5
15,Brandon Maïsano,Ret,5,8,8,10,17,10,Ret,21,9,7,5,15,4,6,20,10,10,10,13,29,26,WD,WD,,,,,,,,,,53
16,Nick Cassidy,,,,,,,,,,,,,,,,,,,,,,,,,32,Ret,9,2,6,3,,,,43
17,Pietro Fittipaldi,11,8,Ret,Ret,20,Ret,DNS,DNQ,DNQ,7,9,11,8,21,10,19,Ret,16,17,20,20,23,32,24,12,6,6,15,Ret,18,13,16,Ret,32
18,Arjun Maini,Ret,14,16,15,Ret,13,12,4,5,10,20,20,17,23,16,Ret,14,17,13,15,17,21,15,22,28,24,16,8,12,16,29,14,17,27
19,Dorian Boccolacci,21,Ret,17,20,32,12,Ret,26,14,Ret,28,EX,18,5,13,6,8,8,15,Ret,25,16,17,17,22,16,10,21,17,Ret,30,15,24,27
20,Alessio Lorandi,Ret,16,14,Ret,30,Ret,6,13,7,18,13,17,10,10,7,17,9,9,30,28,19,15,28,20,17,27,Ret,19,Ret,Ret,12,13,12,26
21,Raoul Hyman,19,27,28,Ret,13,16,16,22,26,6,10,12,30,8,Ret,Ret,18,18,14,14,11,11,11,14,19,Ret,18,16,19,Ret,Ret,Ret,10,14.5
22,Michele Beretta,24,Ret,19,23,24,19,Ret,Ret,Ret,15,Ret,DNS,21,24,21,Ret,Ret,20,18,16,15,22,30,18,27,20,14,25,24,17,14,20,9,4
23,Ryan Tveter,Ret,15,11,Ret,Ret,20,24,21,17,12,27,Ret,11,12,14,13,Ret,21,Ret,9,Ret,Ret,Ret,32,23,21,12,24,16,21,16,29,Ret,2
24,Sam MacLeod,22,Ret,Ret,19,19,14,Ret,9,12,Ret,12,26,12,18,11,16,13,Ret,12,19,16,18,29,15,13,17,23,23,21,Ret,,,,2
25,Fabian Schiller,16,11,25,16,12,15,Ret,Ret,18,Ret,25,Ret,9,15,Ret,26,15,15,25,25,13,19,27,28,,,,,,,,,,2
26,Nabil Jeffri,15,13,15,22,22,22,18,17,15,Ret,21,21,24,17,23,24,24,Ret,9,22,18,14,16,21,18,Ret,20,17,22,12,21,Ret,Ret,2
27,Tatiana Calderón,20,Ret,22,Ret,21,25,17,19,Ret,17,22,13,25,25,18,14,12,14,19,11,14,13,21,16,29,Ret,15,20,15,Ret,18,21,22,0
28,Matt Solomon,25,26,24,21,26,23,25,Ret,13,Ret,19,19,Ret,19,25,Ret,25,Ret,21,17,Ret,Ret,20,26,21,25,22,28,Ret,18,26,26,14,0
29,Matthew Rao,Ret,22,Ret,14,16,31,19,24,19,16,15,EX,23,14,Ret,23,21,Ret,22,23,27,25,31,25,25,Ret,21,22,18,Ret,23,28,18,0
30,Hongwei Cao,23,17,23,18,18,21,21,16,24,14,17,15,20,20,17,,,,,,,,,,,,,,,,,,,0
31,Nicolas Beer,14,20,18,Ret,DNS,DNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Nicolas Pohler,27,24,26,Ret,23,32†,Ret,23,22,19,18,16,27,22,Ret,22,Ret,24,24,29,Ret,,,,,,,31,25,Ret,22,24,15,0
33,Félix Serrallés,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Ret,15,,,,0
34,Julio Moreno,28,23,30,Ret,27,26,22,Ret,DNS,Ret,23,23,28,26,19,18,19,23,31,27,24,28,22,31,31,19,17,29,20,Ret,24,19,16,0
35,Artur Janosz,,,,,,,,,,Ret,16,18,,,,,,,,,,,,,,,,,,,,,,0
36,Wing Chung Chang,,,,,,,,,,,,,,,,,,,20,26,21,24,18,23,24,18,Ret,26,Ret,Ret,Ret,18,20,0
37,Peter Li,Ret,28,27,25,29,29,,,,,,,,,,,,,26,31,26,32,23,30,26,22,19,27,23,20,Ret,27,19,0
38,Kang Ling,Ret,21,Ret,Ret,28,24,20,Ret,Ret,Ret,26,24,26,Ret,20,21,Ret,22,23,24,23,29,26,Ret,,,,,,,,,,0
39,Mahaveer Raghunathan,26,25,29,24,31,30,DNQ,DNQ,DNQ,Ret,24,25,29,27,24,25,20,25,27,30,28,31,25,29,30,23,DNS,30,26,22,,,,0
40,Tanart Sathienthirakul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,Ret,0
41,Matheus Leist,,,,,,,,,,,,,,,,,,,,,,27,24,27,,,,,,,,,,0
42,Gustav Malja,,,,,,,Ret,25,25,,,,,,,,,,,,,,,,,,,,,,,,,0
,Facu Regalia,,,,,,,,,,WD,WD,WD,,,,,,,,,,,,,,,,,,,,,,0
,Alexander Sims,,,,,,,,,,,,,,,,,,,,,,,,,20,15,13,,,,5,DSQ,4,0
,Harald Schlegelmilch,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,27,23,28,22,Ret,0
,Marvin Dienst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,25,Ret,0
